year,crop,month,rainfall,price
16,0,1,2051.4,1950
16,0,2,2051.4,1950
16,0,3,2051.4,1950
16,0,4,2051.4,1950
16,0,5,2051.4,1800
16,0,6,2051.4,1850
16,0,7,2051.4,1800
16,0,8,2051.4,1900
16,0,9,2051.4,1850
16,0,10,2051.4,1700
16,0,11,2051.4,1800
16,0,12,2051.4,1800
17,0,1,2051.4,1900
17,0,2,2051.4,1750
17,0,3,2051.4,1800
17,0,4,2051.4,1850
17,0,5,2051.4,1700
17,0,6,2051.4,1800
17,0,7,2051.4,1650
17,0,8,2051.4,1800
17,0,9,2051.4,1750
17,0,10,2051.4,1850
17,0,11,2051.4,1700
17,0,12,2051.4,1700
18,0,1,2051.4,1450
18,0,2,2051.4,1400
18,0,3,2051.4,1600
18,0,4,1266.7,1550
18,0,5,1266.7,1450
18,0,6,1266.7,1600
18,0,7,1266.7,1500
18,0,8,1266.7,1450
18,0,9,1266.7,1400
18,0,10,1266.7,1500
18,0,11,1266.7,1500
18,0,12,1266.7,1500
19,0,1,1266.7,1750
19,0,2,1266.7,1700
19,0,3,1266.7,2150
19,0,4,1266.7,2050
19,0,5,1266.7,2200
19,0,6,1266.7,2050
19,0,7,1266.7,2400
19,0,8,1266.7,2150
19,0,9,1266.7,2250
19,0,10,1266.7,2200
19,0,11,1266.7,1900
19,0,12,1266.7,1800
20,0,1,1266.7,1400
20,0,2,1266.7,1400
20,0,3,1266.7,1550
20,0,4,1266.7,1550
20,0,5,1266.7,1500
20,0,6,1266.7,1350
20,0,7,1266.7,1200
20,0,8,1266.7,1400
20,0,9,1266.7,1300
20,0,10,3252.4,1350
20,0,11,3252.4,1650
20,0,12,3252.4,1600
21,0,1,3252.4,1600
21,0,2,3252.4,1700
21,0,3,3818.2,1700
21,0,4,3818.2,1750
21,0,5,3818.2,2000
21,0,6,3818.2,2150
21,0,7,3818.2,2050
21,0,8,3818.2,2150
21,0,9,3818.2,2050
21,0,10,3818.2,2000
21,0,11,3818.2,2100
21,0,12,3818.2,1900
22,0,1,3818.2,2050
22,0,2,3818.2,2050
22,0,3,3818.2,2200
22,0,4,3818.2,2200
22,0,5,3818.2,2250
22,0,6,3818.2,2250
22,0,7,3818.2,2050
22,0,8,3818.2,2100
22,0,9,3818.2,2050
22,0,10,3818.2,2200
22,0,11,3818.2,2300
22,0,12,3818.2,2400
16,1,1,2051.4,2300
16,1,2,2051.4,2300
16,1,3,2051.4,2200
16,1,4,2051.4,2200
16,1,5,2051.4,2300
16,1,6,2051.4,2200
16,1,7,2051.4,2300
16,1,8,2051.4,2350
16,1,9,2051.4,2350
16,1,10,2051.4,2500
16,1,11,2051.4,2350
16,1,12,2051.4,2400
17,1,1,2051.4,2400
17,1,2,2051.4,2200
17,1,3,2051.4,2200
17,1,4,2051.4,2200
17,1,5,2051.4,2100
17,1,6,2051.4,2300
17,1,7,2051.4,2300
17,1,8,2051.4,2400
17,1,9,2051.4,2500
17,1,10,2051.4,2300
17,1,11,2051.4,2200
17,1,12,2051.4,2300
18,1,1,2051.4,2300
18,1,2,2051.4,2500
18,1,3,2051.4,2300
18,1,4,1266.7,2400
18,1,5,1266.7,2400
18,1,6,1266.7,2500
18,1,7,1266.7,2600
18,1,8,1266.7,2800
18,1,9,1266.7,2750
18,1,10,1266.7,2800
18,1,11,1266.7,3100
18,1,12,1266.7,3300
19,1,1,1266.7,3400
19,1,2,1266.7,3400
19,1,3,1266.7,3100
19,1,4,1266.7,3000
19,1,5,1266.7,3500
19,1,6,1266.7,3400
19,1,7,1266.7,3600
19,1,8,1266.7,3600
19,1,9,1266.7,3600
19,1,10,1266.7,3800
19,1,11,1266.7,4000
19,1,12,1266.7,4000
20,1,1,1266.7,4000
20,1,2,1266.7,4100
20,1,3,1266.7,3500
20,1,4,1266.7,3300
20,1,5,1266.7,3400
20,1,6,1266.7,3650
20,1,7,1266.7,3500
20,1,8,1266.7,3200
20,1,9,1266.7,3000
20,1,10,3252.4,3200
20,1,11,3252.4,3200
20,1,12,3252.4,3200
21,1,1,3252.4,3400
21,1,2,3252.4,3650
21,1,3,3818.2,3800
21,1,4,3818.2,3600
21,1,5,3818.2,3600
21,1,6,3818.2,3300
21,1,7,3818.2,3200
21,1,8,3818.2,3200
21,1,9,3818.2,3100
21,1,10,3818.2,3000
21,1,11,3818.2,2600
21,1,12,3818.2,2500
22,1,1,3818.2,3500
22,1,2,3818.2,2900
22,1,3,3818.2,2700
22,1,4,3818.2,3500
22,1,5,3818.2,3500
22,1,6,3818.2,3400
22,1,7,3818.2,3500
22,1,8,3818.2,3400
22,1,9,3818.2,3600
22,1,10,3818.2,3600
22,1,11,3818.2,4000
22,1,12,3818.2,3800
16,2,1,1,1650
16,2,2,2,1650
16,2,3,3,1550
16,2,4,4,1700
16,2,5,5,1700
16,2,6,6,1700
16,2,7,7,1700
16,2,8,8,1700
16,2,9,9,1650
16,2,10,10,1650
16,2,11,11,1850
16,2,12,12,1700
17,2,1,1,1500
17,2,2,2,1400
17,2,3,3,1400
17,2,4,4,1400
17,2,5,5,1350
17,2,6,6,1400
17,2,7,7,1300
17,2,8,8,1300
17,2,9,9,1250
17,2,10,10,1450
17,2,11,11,1600
17,2,12,12,1450
18,2,1,1,1250
18,2,2,2,1350
18,2,3,3,1300
18,2,4,4,1400
18,2,5,5,1300
18,2,6,6,1350
18,2,7,7,1300
